batch,simulationId,numPlayers,roundIndex,playerId,benchedThisRound,totalBenchCount
1,1,14,1,P1,false,0
1,1,14,1,P2,false,0
1,1,14,1,P3,false,0
1,1,14,1,P4,false,0
1,1,14,1,P5,true,1
1,1,14,1,P6,false,0
1,1,14,1,P7,false,0
1,1,14,1,P8,false,0
1,1,14,1,P9,false,0
1,1,14,1,P10,false,0
1,1,14,1,P11,false,0
1,1,14,1,P12,false,0
1,1,14,1,P13,true,1
1,1,14,1,P14,false,0
1,1,14,2,P1,false,0
1,1,14,2,P2,false,0
1,1,14,2,P3,false,0
1,1,14,2,P4,true,1
1,1,14,2,P5,false,1
1,1,14,2,P6,false,0
1,1,14,2,P7,false,0
1,1,14,2,P8,false,0
1,1,14,2,P9,false,0
1,1,14,2,P10,false,0
1,1,14,2,P11,false,0
1,1,14,2,P12,false,0
1,1,14,2,P13,false,1
1,1,14,2,P14,true,1
1,1,14,3,P1,false,0
1,1,14,3,P2,false,0
1,1,14,3,P3,false,0
1,1,14,3,P4,false,1
1,1,14,3,P5,false,1
1,1,14,3,P6,false,0
1,1,14,3,P7,false,0
1,1,14,3,P8,false,0
1,1,14,3,P9,true,1
1,1,14,3,P10,true,1
1,1,14,3,P11,false,0
1,1,14,3,P12,false,0
1,1,14,3,P13,false,1
1,1,14,3,P14,false,1
1,1,14,4,P1,false,0
1,1,14,4,P2,false,0
1,1,14,4,P3,false,0
1,1,14,4,P4,false,1
1,1,14,4,P5,false,1
1,1,14,4,P6,false,0
1,1,14,4,P7,true,1
1,1,14,4,P8,false,0
1,1,14,4,P9,false,1
1,1,14,4,P10,false,1
1,1,14,4,P11,true,1
1,1,14,4,P12,false,0
1,1,14,4,P13,false,1
1,1,14,4,P14,false,1
1,1,14,5,P1,false,0
1,1,14,5,P2,false,0
1,1,14,5,P3,true,1
1,1,14,5,P4,false,1
1,1,14,5,P5,false,1
1,1,14,5,P6,true,1
1,1,14,5,P7,false,1
1,1,14,5,P8,false,0
1,1,14,5,P9,false,1
1,1,14,5,P10,false,1
1,1,14,5,P11,false,1
1,1,14,5,P12,false,0
1,1,14,5,P13,false,1
1,1,14,5,P14,false,1
1,1,14,6,P1,true,1
1,1,14,6,P2,false,0
1,1,14,6,P3,false,1
1,1,14,6,P4,false,1
1,1,14,6,P5,false,1
1,1,14,6,P6,false,1
1,1,14,6,P7,false,1
1,1,14,6,P8,true,1
1,1,14,6,P9,false,1
1,1,14,6,P10,false,1
1,1,14,6,P11,false,1
1,1,14,6,P12,false,0
1,1,14,6,P13,false,1
1,1,14,6,P14,false,1
1,1,14,7,P1,false,1
1,1,14,7,P2,true,1
1,1,14,7,P3,false,1
1,1,14,7,P4,false,1
1,1,14,7,P5,false,1
1,1,14,7,P6,false,1
1,1,14,7,P7,false,1
1,1,14,7,P8,false,1
1,1,14,7,P9,false,1
1,1,14,7,P10,false,1
1,1,14,7,P11,false,1
1,1,14,7,P12,true,1
1,1,14,7,P13,false,1
1,1,14,7,P14,false,1
1,1,14,8,P1,false,1
1,1,14,8,P2,false,1
1,1,14,8,P3,false,1
1,1,14,8,P4,false,1
1,1,14,8,P5,false,1
1,1,14,8,P6,false,1
1,1,14,8,P7,false,1
1,1,14,8,P8,true,2
1,1,14,8,P9,true,2
1,1,14,8,P10,false,1
1,1,14,8,P11,false,1
1,1,14,8,P12,false,1
1,1,14,8,P13,false,1
1,1,14,8,P14,false,1
1,1,14,9,P1,false,1
1,1,14,9,P2,false,1
1,1,14,9,P3,false,1
1,1,14,9,P4,false,1
1,1,14,9,P5,false,1
1,1,14,9,P6,false,1
1,1,14,9,P7,true,2
1,1,14,9,P8,false,2
1,1,14,9,P9,false,2
1,1,14,9,P10,false,1
1,1,14,9,P11,true,2
1,1,14,9,P12,false,1
1,1,14,9,P13,false,1
1,1,14,9,P14,false,1
1,1,14,10,P1,false,1
1,1,14,10,P2,false,1
1,1,14,10,P3,false,1
1,1,14,10,P4,false,1
1,1,14,10,P5,false,1
1,1,14,10,P6,false,1
1,1,14,10,P7,false,2
1,1,14,10,P8,false,2
1,1,14,10,P9,false,2
1,1,14,10,P10,false,1
1,1,14,10,P11,false,2
1,1,14,10,P12,false,1
1,1,14,10,P13,true,2
1,1,14,10,P14,true,2
1,2,14,1,P1,true,1
1,2,14,1,P2,false,0
1,2,14,1,P3,true,1
1,2,14,1,P4,false,0
1,2,14,1,P5,false,0
1,2,14,1,P6,false,0
1,2,14,1,P7,false,0
1,2,14,1,P8,false,0
1,2,14,1,P9,false,0
1,2,14,1,P10,false,0
1,2,14,1,P11,false,0
1,2,14,1,P12,false,0
1,2,14,1,P13,false,0
1,2,14,1,P14,false,0
1,2,14,2,P1,false,1
1,2,14,2,P2,false,0
1,2,14,2,P3,false,1
1,2,14,2,P4,false,0
1,2,14,2,P5,false,0
1,2,14,2,P6,false,0
1,2,14,2,P7,false,0
1,2,14,2,P8,false,0
1,2,14,2,P9,true,1
1,2,14,2,P10,false,0
1,2,14,2,P11,false,0
1,2,14,2,P12,false,0
1,2,14,2,P13,false,0
1,2,14,2,P14,true,1
1,2,14,3,P1,false,1
1,2,14,3,P2,true,1
1,2,14,3,P3,false,1
1,2,14,3,P4,true,1
1,2,14,3,P5,false,0
1,2,14,3,P6,false,0
1,2,14,3,P7,false,0
1,2,14,3,P8,false,0
1,2,14,3,P9,false,1
1,2,14,3,P10,false,0
1,2,14,3,P11,false,0
1,2,14,3,P12,false,0
1,2,14,3,P13,false,0
1,2,14,3,P14,false,1
1,2,14,4,P1,false,1
1,2,14,4,P2,false,1
1,2,14,4,P3,false,1
1,2,14,4,P4,false,1
1,2,14,4,P5,false,0
1,2,14,4,P6,false,0
1,2,14,4,P7,false,0
1,2,14,4,P8,false,0
1,2,14,4,P9,false,1
1,2,14,4,P10,false,0
1,2,14,4,P11,true,1
1,2,14,4,P12,false,0
1,2,14,4,P13,true,1
1,2,14,4,P14,false,1
1,2,14,5,P1,false,1
1,2,14,5,P2,false,1
1,2,14,5,P3,false,1
1,2,14,5,P4,false,1
1,2,14,5,P5,false,0
1,2,14,5,P6,false,0
1,2,14,5,P7,true,1
1,2,14,5,P8,false,0
1,2,14,5,P9,false,1
1,2,14,5,P10,true,1
1,2,14,5,P11,false,1
1,2,14,5,P12,false,0
1,2,14,5,P13,false,1
1,2,14,5,P14,false,1
1,2,14,6,P1,false,1
1,2,14,6,P2,false,1
1,2,14,6,P3,false,1
1,2,14,6,P4,false,1
1,2,14,6,P5,true,1
1,2,14,6,P6,false,0
1,2,14,6,P7,false,1
1,2,14,6,P8,false,0
1,2,14,6,P9,false,1
1,2,14,6,P10,false,1
1,2,14,6,P11,false,1
1,2,14,6,P12,true,1
1,2,14,6,P13,false,1
1,2,14,6,P14,false,1
1,2,14,7,P1,false,1
1,2,14,7,P2,false,1
1,2,14,7,P3,false,1
1,2,14,7,P4,false,1
1,2,14,7,P5,false,1
1,2,14,7,P6,true,1
1,2,14,7,P7,false,1
1,2,14,7,P8,true,1
1,2,14,7,P9,false,1
1,2,14,7,P10,false,1
1,2,14,7,P11,false,1
1,2,14,7,P12,false,1
1,2,14,7,P13,false,1
1,2,14,7,P14,false,1
1,2,14,8,P1,false,1
1,2,14,8,P2,false,1
1,2,14,8,P3,true,2
1,2,14,8,P4,false,1
1,2,14,8,P5,false,1
1,2,14,8,P6,false,1
1,2,14,8,P7,false,1
1,2,14,8,P8,false,1
1,2,14,8,P9,false,1
1,2,14,8,P10,false,1
1,2,14,8,P11,false,1
1,2,14,8,P12,false,1
1,2,14,8,P13,true,2
1,2,14,8,P14,false,1
1,2,14,9,P1,false,1
1,2,14,9,P2,false,1
1,2,14,9,P3,false,2
1,2,14,9,P4,false,1
1,2,14,9,P5,false,1
1,2,14,9,P6,true,2
1,2,14,9,P7,false,1
1,2,14,9,P8,false,1
1,2,14,9,P9,true,2
1,2,14,9,P10,false,1
1,2,14,9,P11,false,1
1,2,14,9,P12,false,1
1,2,14,9,P13,false,2
1,2,14,9,P14,false,1
1,2,14,10,P1,false,1
1,2,14,10,P2,false,1
1,2,14,10,P3,false,2
1,2,14,10,P4,false,1
1,2,14,10,P5,false,1
1,2,14,10,P6,false,2
1,2,14,10,P7,true,2
1,2,14,10,P8,false,1
1,2,14,10,P9,false,2
1,2,14,10,P10,false,1
1,2,14,10,P11,false,1
1,2,14,10,P12,true,2
1,2,14,10,P13,false,2
1,2,14,10,P14,false,1
1,3,14,1,P1,true,1
1,3,14,1,P2,false,0
1,3,14,1,P3,false,0
1,3,14,1,P4,false,0
1,3,14,1,P5,false,0
1,3,14,1,P6,false,0
1,3,14,1,P7,false,0
1,3,14,1,P8,false,0
1,3,14,1,P9,false,0
1,3,14,1,P10,false,0
1,3,14,1,P11,false,0
1,3,14,1,P12,false,0
1,3,14,1,P13,true,1
1,3,14,1,P14,false,0
1,3,14,2,P1,false,1
1,3,14,2,P2,false,0
1,3,14,2,P3,false,0
1,3,14,2,P4,false,0
1,3,14,2,P5,false,0
1,3,14,2,P6,false,0
1,3,14,2,P7,false,0
1,3,14,2,P8,false,0
1,3,14,2,P9,true,1
1,3,14,2,P10,false,0
1,3,14,2,P11,false,0
1,3,14,2,P12,false,0
1,3,14,2,P13,false,1
1,3,14,2,P14,true,1
1,3,14,3,P1,false,1
1,3,14,3,P2,false,0
1,3,14,3,P3,false,0
1,3,14,3,P4,false,0
1,3,14,3,P5,false,0
1,3,14,3,P6,true,1
1,3,14,3,P7,false,0
1,3,14,3,P8,true,1
1,3,14,3,P9,false,1
1,3,14,3,P10,false,0
1,3,14,3,P11,false,0
1,3,14,3,P12,false,0
1,3,14,3,P13,false,1
1,3,14,3,P14,false,1
1,3,14,4,P1,false,1
1,3,14,4,P2,false,0
1,3,14,4,P3,false,0
1,3,14,4,P4,true,1
1,3,14,4,P5,false,0
1,3,14,4,P6,false,1
1,3,14,4,P7,false,0
1,3,14,4,P8,false,1
1,3,14,4,P9,false,1
1,3,14,4,P10,false,0
1,3,14,4,P11,true,1
1,3,14,4,P12,false,0
1,3,14,4,P13,false,1
1,3,14,4,P14,false,1
1,3,14,5,P1,false,1
1,3,14,5,P2,false,0
1,3,14,5,P3,false,0
1,3,14,5,P4,false,1
1,3,14,5,P5,true,1
1,3,14,5,P6,false,1
1,3,14,5,P7,false,0
1,3,14,5,P8,false,1
1,3,14,5,P9,false,1
1,3,14,5,P10,false,0
1,3,14,5,P11,false,1
1,3,14,5,P12,true,1
1,3,14,5,P13,false,1
1,3,14,5,P14,false,1
1,3,14,6,P1,false,1
1,3,14,6,P2,true,1
1,3,14,6,P3,false,0
1,3,14,6,P4,false,1
1,3,14,6,P5,false,1
1,3,14,6,P6,false,1
1,3,14,6,P7,false,0
1,3,14,6,P8,false,1
1,3,14,6,P9,false,1
1,3,14,6,P10,true,1
1,3,14,6,P11,false,1
1,3,14,6,P12,false,1
1,3,14,6,P13,false,1
1,3,14,6,P14,false,1
1,3,14,7,P1,false,1
1,3,14,7,P2,false,1
1,3,14,7,P3,true,1
1,3,14,7,P4,false,1
1,3,14,7,P5,false,1
1,3,14,7,P6,false,1
1,3,14,7,P7,true,1
1,3,14,7,P8,false,1
1,3,14,7,P9,false,1
1,3,14,7,P10,false,1
1,3,14,7,P11,false,1
1,3,14,7,P12,false,1
1,3,14,7,P13,false,1
1,3,14,7,P14,false,1
1,3,14,8,P1,false,1
1,3,14,8,P2,false,1
1,3,14,8,P3,false,1
1,3,14,8,P4,false,1
1,3,14,8,P5,true,2
1,3,14,8,P6,true,2
1,3,14,8,P7,false,1
1,3,14,8,P8,false,1
1,3,14,8,P9,false,1
1,3,14,8,P10,false,1
1,3,14,8,P11,false,1
1,3,14,8,P12,false,1
1,3,14,8,P13,false,1
1,3,14,8,P14,false,1
1,3,14,9,P1,false,1
1,3,14,9,P2,false,1
1,3,14,9,P3,false,1
1,3,14,9,P4,false,1
1,3,14,9,P5,false,2
1,3,14,9,P6,false,2
1,3,14,9,P7,false,1
1,3,14,9,P8,false,1
1,3,14,9,P9,false,1
1,3,14,9,P10,true,2
1,3,14,9,P11,true,2
1,3,14,9,P12,false,1
1,3,14,9,P13,false,1
1,3,14,9,P14,false,1
1,3,14,10,P1,false,1
1,3,14,10,P2,false,1
1,3,14,10,P3,false,1
1,3,14,10,P4,false,1
1,3,14,10,P5,false,2
1,3,14,10,P6,false,2
1,3,14,10,P7,false,1
1,3,14,10,P8,false,1
1,3,14,10,P9,true,2
1,3,14,10,P10,false,2
1,3,14,10,P11,false,2
1,3,14,10,P12,false,1
1,3,14,10,P13,false,1
1,3,14,10,P14,true,2
1,4,14,1,P1,false,0
1,4,14,1,P2,false,0
1,4,14,1,P3,false,0
1,4,14,1,P4,false,0
1,4,14,1,P5,false,0
1,4,14,1,P6,false,0
1,4,14,1,P7,false,0
1,4,14,1,P8,true,1
1,4,14,1,P9,false,0
1,4,14,1,P10,true,1
1,4,14,1,P11,false,0
1,4,14,1,P12,false,0
1,4,14,1,P13,false,0
1,4,14,1,P14,false,0
1,4,14,2,P1,false,0
1,4,14,2,P2,false,0
1,4,14,2,P3,false,0
1,4,14,2,P4,false,0
1,4,14,2,P5,false,0
1,4,14,2,P6,false,0
1,4,14,2,P7,false,0
1,4,14,2,P8,false,1
1,4,14,2,P9,false,0
1,4,14,2,P10,false,1
1,4,14,2,P11,false,0
1,4,14,2,P12,true,1
1,4,14,2,P13,false,0
1,4,14,2,P14,true,1
1,4,14,3,P1,false,0
1,4,14,3,P2,true,1
1,4,14,3,P3,false,0
1,4,14,3,P4,false,0
1,4,14,3,P5,false,0
1,4,14,3,P6,false,0
1,4,14,3,P7,true,1
1,4,14,3,P8,false,1
1,4,14,3,P9,false,0
1,4,14,3,P10,false,1
1,4,14,3,P11,false,0
1,4,14,3,P12,false,1
1,4,14,3,P13,false,0
1,4,14,3,P14,false,1
1,4,14,4,P1,false,0
1,4,14,4,P2,false,1
1,4,14,4,P3,false,0
1,4,14,4,P4,false,0
1,4,14,4,P5,false,0
1,4,14,4,P6,false,0
1,4,14,4,P7,false,1
1,4,14,4,P8,false,1
1,4,14,4,P9,true,1
1,4,14,4,P10,false,1
1,4,14,4,P11,true,1
1,4,14,4,P12,false,1
1,4,14,4,P13,false,0
1,4,14,4,P14,false,1
1,4,14,5,P1,true,1
1,4,14,5,P2,false,1
1,4,14,5,P3,false,0
1,4,14,5,P4,false,0
1,4,14,5,P5,true,1
1,4,14,5,P6,false,0
1,4,14,5,P7,false,1
1,4,14,5,P8,false,1
1,4,14,5,P9,false,1
1,4,14,5,P10,false,1
1,4,14,5,P11,false,1
1,4,14,5,P12,false,1
1,4,14,5,P13,false,0
1,4,14,5,P14,false,1
1,4,14,6,P1,false,1
1,4,14,6,P2,false,1
1,4,14,6,P3,true,1
1,4,14,6,P4,false,0
1,4,14,6,P5,false,1
1,4,14,6,P6,true,1
1,4,14,6,P7,false,1
1,4,14,6,P8,false,1
1,4,14,6,P9,false,1
1,4,14,6,P10,false,1
1,4,14,6,P11,false,1
1,4,14,6,P12,false,1
1,4,14,6,P13,false,0
1,4,14,6,P14,false,1
1,4,14,7,P1,false,1
1,4,14,7,P2,false,1
1,4,14,7,P3,false,1
1,4,14,7,P4,true,1
1,4,14,7,P5,false,1
1,4,14,7,P6,false,1
1,4,14,7,P7,false,1
1,4,14,7,P8,false,1
1,4,14,7,P9,false,1
1,4,14,7,P10,false,1
1,4,14,7,P11,false,1
1,4,14,7,P12,false,1
1,4,14,7,P13,true,1
1,4,14,7,P14,false,1
1,4,14,8,P1,false,1
1,4,14,8,P2,true,2
1,4,14,8,P3,true,2
1,4,14,8,P4,false,1
1,4,14,8,P5,false,1
1,4,14,8,P6,false,1
1,4,14,8,P7,false,1
1,4,14,8,P8,false,1
1,4,14,8,P9,false,1
1,4,14,8,P10,false,1
1,4,14,8,P11,false,1
1,4,14,8,P12,false,1
1,4,14,8,P13,false,1
1,4,14,8,P14,false,1
1,4,14,9,P1,true,2
1,4,14,9,P2,false,2
1,4,14,9,P3,false,2
1,4,14,9,P4,false,1
1,4,14,9,P5,false,1
1,4,14,9,P6,false,1
1,4,14,9,P7,false,1
1,4,14,9,P8,false,1
1,4,14,9,P9,false,1
1,4,14,9,P10,false,1
1,4,14,9,P11,false,1
1,4,14,9,P12,true,2
1,4,14,9,P13,false,1
1,4,14,9,P14,false,1
1,4,14,10,P1,false,2
1,4,14,10,P2,false,2
1,4,14,10,P3,false,2
1,4,14,10,P4,false,1
1,4,14,10,P5,false,1
1,4,14,10,P6,false,1
1,4,14,10,P7,true,2
1,4,14,10,P8,false,1
1,4,14,10,P9,false,1
1,4,14,10,P10,false,1
1,4,14,10,P11,false,1
1,4,14,10,P12,false,2
1,4,14,10,P13,false,1
1,4,14,10,P14,true,2
1,5,14,1,P1,false,0
1,5,14,1,P2,false,0
1,5,14,1,P3,false,0
1,5,14,1,P4,true,1
1,5,14,1,P5,false,0
1,5,14,1,P6,false,0
1,5,14,1,P7,false,0
1,5,14,1,P8,false,0
1,5,14,1,P9,false,0
1,5,14,1,P10,false,0
1,5,14,1,P11,true,1
1,5,14,1,P12,false,0
1,5,14,1,P13,false,0
1,5,14,1,P14,false,0
1,5,14,2,P1,false,0
1,5,14,2,P2,false,0
1,5,14,2,P3,true,1
1,5,14,2,P4,false,1
1,5,14,2,P5,false,0
1,5,14,2,P6,false,0
1,5,14,2,P7,true,1
1,5,14,2,P8,false,0
1,5,14,2,P9,false,0
1,5,14,2,P10,false,0
1,5,14,2,P11,false,1
1,5,14,2,P12,false,0
1,5,14,2,P13,false,0
1,5,14,2,P14,false,0
1,5,14,3,P1,true,1
1,5,14,3,P2,false,0
1,5,14,3,P3,false,1
1,5,14,3,P4,false,1
1,5,14,3,P5,false,0
1,5,14,3,P6,false,0
1,5,14,3,P7,false,1
1,5,14,3,P8,false,0
1,5,14,3,P9,false,0
1,5,14,3,P10,false,0
1,5,14,3,P11,false,1
1,5,14,3,P12,false,0
1,5,14,3,P13,false,0
1,5,14,3,P14,true,1
1,5,14,4,P1,false,1
1,5,14,4,P2,true,1
1,5,14,4,P3,false,1
1,5,14,4,P4,false,1
1,5,14,4,P5,false,0
1,5,14,4,P6,false,0
1,5,14,4,P7,false,1
1,5,14,4,P8,false,0
1,5,14,4,P9,true,1
1,5,14,4,P10,false,0
1,5,14,4,P11,false,1
1,5,14,4,P12,false,0
1,5,14,4,P13,false,0
1,5,14,4,P14,false,1
1,5,14,5,P1,false,1
1,5,14,5,P2,false,1
1,5,14,5,P3,false,1
1,5,14,5,P4,false,1
1,5,14,5,P5,true,1
1,5,14,5,P6,false,0
1,5,14,5,P7,false,1
1,5,14,5,P8,false,0
1,5,14,5,P9,false,1
1,5,14,5,P10,false,0
1,5,14,5,P11,false,1
1,5,14,5,P12,true,1
1,5,14,5,P13,false,0
1,5,14,5,P14,false,1
1,5,14,6,P1,false,1
1,5,14,6,P2,false,1
1,5,14,6,P3,false,1
1,5,14,6,P4,false,1
1,5,14,6,P5,false,1
1,5,14,6,P6,false,0
1,5,14,6,P7,false,1
1,5,14,6,P8,false,0
1,5,14,6,P9,false,1
1,5,14,6,P10,true,1
1,5,14,6,P11,false,1
1,5,14,6,P12,false,1
1,5,14,6,P13,true,1
1,5,14,6,P14,false,1
1,5,14,7,P1,false,1
1,5,14,7,P2,false,1
1,5,14,7,P3,false,1
1,5,14,7,P4,false,1
1,5,14,7,P5,false,1
1,5,14,7,P6,true,1
1,5,14,7,P7,false,1
1,5,14,7,P8,true,1
1,5,14,7,P9,false,1
1,5,14,7,P10,false,1
1,5,14,7,P11,false,1
1,5,14,7,P12,false,1
1,5,14,7,P13,false,1
1,5,14,7,P14,false,1
1,5,14,8,P1,false,1
1,5,14,8,P2,false,1
1,5,14,8,P3,true,2
1,5,14,8,P4,false,1
1,5,14,8,P5,true,2
1,5,14,8,P6,false,1
1,5,14,8,P7,false,1
1,5,14,8,P8,false,1
1,5,14,8,P9,false,1
1,5,14,8,P10,false,1
1,5,14,8,P11,false,1
1,5,14,8,P12,false,1
1,5,14,8,P13,false,1
1,5,14,8,P14,false,1
1,5,14,9,P1,false,1
1,5,14,9,P2,false,1
1,5,14,9,P3,false,2
1,5,14,9,P4,false,1
1,5,14,9,P5,false,2
1,5,14,9,P6,false,1
1,5,14,9,P7,false,1
1,5,14,9,P8,true,2
1,5,14,9,P9,false,1
1,5,14,9,P10,false,1
1,5,14,9,P11,true,2
1,5,14,9,P12,false,1
1,5,14,9,P13,false,1
1,5,14,9,P14,false,1
1,5,14,10,P1,false,1
1,5,14,10,P2,false,1
1,5,14,10,P3,false,2
1,5,14,10,P4,false,1
1,5,14,10,P5,false,2
1,5,14,10,P6,false,1
1,5,14,10,P7,false,1
1,5,14,10,P8,false,2
1,5,14,10,P9,false,1
1,5,14,10,P10,false,1
1,5,14,10,P11,false,2
1,5,14,10,P12,true,2
1,5,14,10,P13,false,1
1,5,14,10,P14,true,2
1,6,14,1,P1,false,0
